SURVEY_INFO,esdate,towncode,ward,respid,BACKGROUND,gender,age,hhsize,educ,religion,leavemonr2w,leavemonr2wwhere,returnmonr2w,returnmonr2wwhere,EBOLA_AWARENESS,ehowget,esignsymptom,eincubation,ehotline,spreadair,spreadfluids,spreadearly,saltcure,HEALTH,notreatmentj26,under5,childsick,childsickcare,childsicknocareebola,childsickcarewhereelse,hhmemsick,hhmemsickcare,hhmemsicknocareebola,hhmemsickcarewhere,EBOLA_VIGILANCE,egroupa,egroupct,emtgs,emtgswho,corganizedae,csafeburial,bucket,handsanitizer,shakehands,secretburials,hidecases,breakcurfew,havefun,ECONOMIC_FOOD_IMPACTS,nocashjuly,income7d,income7dunit,income7dnormal,income7dnormalunit,occupation,losejob,workless,famlosejob,famworkless,nofoodjuly,nofoodworry7d,skipmeals,limitmealsize,borrowfood,badfood,childmeals,childmealsnormal,bedhungry2w,CONCLUSION,willshare,angry,distractions
,"12/6/2014 12:30:11",2001,"Z100-New KruTown",2001163,,"1-Male",35,4,"6-Completed high school","1-Christian","0-No","","0-No","",,"3-Bodily fluids of infected pe;6-Contact with infected surfac;7-Mother breastfeeding her chi","1-Vomiting;3-Diarrhea;4-Headache;6-Sore throat;7-Weakness",21,"0-No","N","Y","Y","N",,"0-Never",1,"N","","","","N","","","",,"1-Yes","1-Yes",0,"88-Other","1-Agree","1-Agree","1-Yes","1-Yes","1-Yes","0-No","0-No",2,2,,"0-Never",2000,"1-LD",60,"2-USD","4-Skilled manual","N","N","N","Y","0-Never","N",0,0,0,0,2,2,0,,"Y","N","0-None"
,"12/6/2014 12:43:09",2001,"Z100-New KruTown",2001193,,"2-Female",31,10,"6-Completed high school","1-Christian","","","","",,"1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;2-Fever;3-Diarrhea;4-Headache;5-Joint and muscle pain;6-Sore throat;7-Weakness;8-Stomach pain;9-Rash;10-Red eyes;12-Bleeding",3,"0-No","N","Y","Y","N",,"1-Just once or twice",0,"","","","","N","","","",,"0-No","0-No",0,"","0-Disagree","1-Agree","1-Yes","1-Yes","0-No","0-No","0-No",0,0,,"3-Many times",500,"1-LD",1500,"1-LD","3-Sales and services","N","Y","N","Y","0-Never","Y",7,7,5,7,1,2,0,,"Y","N","0-None"
,"12/6/2014 11:30:08",2001,"Z100-New KruTown",2001162,,"",,,"","","","","","",,"6-Contact with infected surfac","1-Vomiting;3-Diarrhea;4-Headache;6-Sore throat;7-Weakness;10-Red eyes",21,"1-Yes","N","Y","N","N",,"0-Never",0,"","","","","N","","","",,"1-Yes","1-Yes",0,"88-Other","1-Agree","1-Agree","1-Yes","1-Yes","0-No","0-No","0-No",2,3,,"1-Just once or twice",8000,"1-LD",13000,"1-LD","3-Sales and services","N","Y","N","N","0-Never","N",0,0,0,0,99,99,99,,"Y","N","0-None"
,"12/6/2014 13:25:55",2001,"Z100-New KruTown",2001133,,"1-Male",39,16,"6-Completed high school","1-Christian","0-No","","0-No","",,"3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;2-Fever;9-Rash;10-Red eyes;12-Bleeding;18-Cough",2,"1-Yes","N","Y","Y","N",,"0-Never",5,"Y","Y","","","Y","Y","","1-Clinic",,"1-Yes","1-Yes",5,"1-Community leaders;4-NGOs","1-Agree","1-Agree","1-Yes","0-No","0-No","0-No","0-No",0,0,,"3-Many times",1000,"1-LD",2000,"1-LD","4-Skilled manual","Y","Y","N","Y","3-Many times","Y",3,4,3,3,1,2,2,,"Y","N","0-None"
,"12/6/2014 11:53:20",2001,"Z100-New KruTown",2001192,,"1-Male",42,8,"6-Completed high school","1-Christian","","","","",,"1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac;88-Other","1-Vomiting;2-Fever;3-Diarrhea;4-Headache;8-Stomach pain;10-Red eyes",21,"1-Yes","N","Y","Y","N",,"0-Never",5,"N","","","","N","","","",,"1-Yes","0-No",0,"","1-Agree","1-Agree","1-Yes","1-Yes","0-No","0-No","0-No",7,7,,"3-Many times",88,"88-N/A",300,"1-LD","88-Other","N","Y","N","Y","3-Many times","Y",0,7,0,3,2,3,0,,"Y","N","0-None"
,"12/6/2014 13:23:51",2001,"Z100-New KruTown",2001153,,"2-Female",25,5,"3-Some junior high","2-Muslim","","","","",,"1-Preparing or eating bush mea;3-Bodily fluids of infected pe;4-Man woman business;6-Contact with infected surfac","1-Vomiting;3-Diarrhea;7-Weakness",21,"1-Yes","N","Y","Y","N",,"0-Never",0,"","","","","Y","Y","","2-Hospital",,"1-Yes","1-Yes",2,"1-Community leaders","1-Agree","1-Agree","1-Yes","0-No","1-Yes","0-No","0-No",0,0,,"2-Several times",1400,"1-LD",3000,"1-LD","4-Skilled manual","Y","Y","N","N","1-Just once or twice","Y",3,3,5,4,1,2,3,,"Y","N","0-None"
,"12/6/2014 11:51:03",2001,"Z100-New KruTown",2001152,,"2-Female",32,10,"7-Some university","1-Christian","","","","",,"1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;3-Diarrhea;4-Headache;5-Joint and muscle pain;6-Sore throat;7-Weakness;8-Stomach pain;9-Rash;10-Red eyes",21,"0-No","N","Y","N","N",,"0-Never",3,"N","","","","Y","N","","",,"1-Yes","1-Yes",0,"88-Other","1-Agree","1-Agree","1-Yes","1-Yes","1-Yes","0-No","0-No",0,0,,"0-Never",1500,"1-LD",3000,"1-LD","1-Professional","N","Y","N","Y","1-Just once or twice","Y",3,3,0,4,2,4,0,,"Y","N","0-None"
,"12/6/2014 12:19:17",2001,"Z100-New KruTown",2001113,,"1-Male",56,16,"88-Other","1-Christian","","","","",,"3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac","2-Fever;4-Headache;7-Weakness;12-Bleeding",2,"1-Yes","N","Y","N","N",,"2-Several times",4,"Y","N","","6-Family or self","Y","Y","","2-Hospital",,"1-Yes","0-No",2,"1-Community leaders;4-NGOs;6-Community group","1-Agree","1-Agree","1-Yes","1-Yes","0-No","0-No","0-No",0,7,,"",,"",,"","","","","","","","",,,,,,,,,"Y","Y","2-Child present;88-Other"
,"12/6/2014 13:31:23",2001,"Z100-New KruTown",2001164,,"2-Female",50,11,"5-Some high school","1-Christian","","","","",,"4-Man woman business;5-Touching dead bodies","1-Vomiting;3-Diarrhea;9-Rash;10-Red eyes",5,"0-No","N","Y","Y","N",,"2-Several times",1,"N","","","","N","","","",,"1-Yes","1-Yes",0,"88-Other","1-Agree","97-Do not know","1-Yes","1-Yes","0-No","97-Do not know","0-No",0,0,,"0-Never",8000,"1-LD",13000,"1-LD","3-Sales and services","N","N","N","N","0-Never","N",0,0,0,0,2,3,0,,"Y","N","0-None"
,"1/9/2015 12:17:32",2001,"Z100-New KruTown",2001135,,"1-Male",32,6,"5-Some high school","1-Christian","","","","",,"3-Bodily fluids of infected pe;6-Contact with infected surfac;88-Other","2-Fever;5-Joint and muscle pain;10-Red eyes",21,"0-No","N","Y","Y","N",,"0-Never",3,"N","","","","N","","","",,"1-Yes","1-Yes",0,"88-Other","1-Agree","1-Agree","1-Yes","0-No","0-No","0-No","0-No",0,0,,"3-Many times",200,"1-LD",4000,"1-LD","4-Skilled manual","Y","Y","N","N","1-Just once or twice","Y",3,4,0,2,2,2,0,,"Y","N","0-None"
,"12/6/2014 11:15:57",2002,"Z100-New KruTown",2002104,,"1-Male",23,4,"5-Some high school","2-Muslim","","","","",,"3-Bodily fluids of infected pe;6-Contact with infected surfac","1-Vomiting;2-Fever;3-Diarrhea;15-Chills",21,"1-Yes","N","Y","Y","N",,"0-Never",0,"","","","","N","","","",,"0-No","0-No",0,"88-Other","1-Agree","1-Agree","1-Yes","1-Yes","0-No","0-No","0-No",0,0,,"3-Many times",400,"1-LD",2500,"1-LD","3-Sales and services","N","Y","Y","Y","1-Just once or twice","Y",0,3,4,4,99,99,99,,"Y","Y","0-None"
,"12/5/2014 14:42:59",2002,"Z100-New KruTown",2002201,,"2-Female",29,7,"5-Some high school","1-Christian","","","","",,"3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;2-Fever;9-Rash;10-Red eyes",21,"0-No","N","Y","Y","N",,"0-Never",6,"N","","","","Y","Y","","1-Clinic",,"1-Yes","0-No",0,"88-Other","1-Agree","1-Agree","1-Yes","1-Yes","0-No","0-No","0-No",0,0,,"3-Many times",1000,"1-LD",3500,"1-LD","3-Sales and services","N","Y","Y","Y","1-Just once or twice","Y",2,7,0,1,3,3,3,,"Y","N","2-Child present"
,"12/5/2014 15:23:05",2002,"Z100-New KruTown",2004186,,"1-Male",32,9,"5-Some high school","2-Muslim","","","","",,"1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe","1-Vomiting;2-Fever;7-Weakness",5,"1-Yes","N","Y","Y","N",,"0-Never",6,"N","","","","N","","","",,"1-Yes","1-Yes",0,"88-Other","1-Agree","0-Disagree","1-Yes","1-Yes","0-No","0-No","0-No",0,6,,"3-Many times",3000,"1-LD",3000,"1-LD","6-Domestic services","Y","N","Y","Y","0-Never","Y",1,2,0,0,2,2,2,,"Y","N","0-None"
,"12/5/2014 15:41:46",2002,"Z100-New KruTown",2004122,,"1-Male",52,3,"0-None","1-Christian","","","","",,"5-Touching dead bodies;88-Other","1-Vomiting;3-Diarrhea",24,"0-No","N","Y","Y","N",,"0-Never",0,"","","","","N","","","",,"1-Yes","1-Yes",0,"88-Other","1-Agree","1-Agree","1-Yes","1-Yes","0-No","97-Do not know","0-No",0,0,,"3-Many times",900,"1-LD",2500,"1-LD","5-Unskilled manual","Y","Y","Y","Y","0-Never","N",0,0,0,0,0,0,0,,"Y","N","0-None"
,"12/6/2014 12:27:06",2002,"Z100-New KruTown",2002105,,"2-Female",82,7,"6-Completed high school","1-Christian","","","","",,"97-Dont know","1-Vomiting;2-Fever",14,"0-No","Y","Y","Y","N",,"0-Never",0,"","","","","Y","Y","","4-At home doctor or nurse",,"0-No","0-No",1,"4-NGOs","1-Agree","0-Disagree","1-Yes","1-Yes","0-No","0-No","0-No",0,0,,"2-Several times",0,"1-LD",0,"1-LD","0-None","N","N","Y","Y","1-Just once or twice","Y",0,3,0,2,99,99,99,,"Y","N","0-None"
,"12/5/2014 14:28:21",2002,"Z100-New KruTown",2002121,,"1-Male",46,10,"8-Completed university","1-Christian","","","","",,"3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac;88-Other","1-Vomiting;3-Diarrhea;12-Bleeding",5,"1-Yes","N","Y","N","N",,"2-Several times",2,"Y","N","","1-Clinic","Y","Y","","1-Clinic",,"1-Yes","1-Yes",2,"4-NGOs","1-Agree","1-Agree","1-Yes","0-No","0-No","0-No","0-No",0,2,,"2-Several times",50,"2-USD",10,"1-LD","1-Professional","N","Y","N","Y","2-Several times","Y",2,0,0,0,2,2,0,,"Y","N","0-None"
,"1/6/2015 12:29:11",2002,"Z100-New KruTown",2002144,,"2-Female",20,15,"3-Some junior high","1-Christian","","","","",,"6-Contact with infected surfac","1-Vomiting;3-Diarrhea;7-Weakness;11-Hiccups",2,"0-No","N","Y","Y","N",,"0-Never",4,"N","","","","N","","","",,"1-Yes","0-No",0,"88-Other","0-Disagree","1-Agree","0-No","0-No","0-No","0-No","0-No",0,0,,"2-Several times",0,"88-N/A",10,"2-USD","0-None","Y","N","Y","N","1-Just once or twice","Y",3,3,0,3,1,2,0,,"","",""
,"12/5/2014 16:33:47",2002,"Z100-New KruTown",2004187,,"2-Female",50,12,"0-None","1-Christian","","","","",,"97-Dont know","1-Vomiting;97-Does not know",0,"0-No","N","Y","N","N",,"2-Several times",6,"N","","","","N","","","",,"1-Yes","1-Yes",0,"88-Other","1-Agree","1-Agree","1-Yes","0-No","0-No","0-No","0-No",0,0,,"2-Several times",0,"88-N/A",0,"1-LD","0-None","N","N","N","N","2-Several times","N",2,1,0,0,99,2,5,,"Y","Y","2-Child present"
,"12/5/2014 15:29:05",2002,"Z100-New KruTown",2002102,,"2-Female",52,15,"0-None","1-Christian","0-No","","0-No","",,"6-Contact with infected surfac;88-Other","1-Vomiting;2-Fever;3-Diarrhea;4-Headache;5-Joint and muscle pain;10-Red eyes",3,"0-No","Y","Y","N","N",,"1-Just once or twice",4,"Y","Y","","","Y","Y","","2-Hospital",,"0-No","0-No",0,"88-Other","1-Agree","1-Agree","1-Yes","1-Yes","0-No","0-No","0-No",0,0,,"3-Many times",1000,"1-LD",8000,"1-LD","3-Sales and services","Y","Y","Y","Y","2-Several times","Y",0,4,0,7,1,2,0,,"","",""
,"12/5/2014 14:19:38",2002,"Z100-New KruTown",2004144,,"1-Male",28,2,"6-Completed high school","2-Muslim","","","","",,"1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;2-Fever;3-Diarrhea;4-Headache;5-Joint and muscle pain;7-Weakness;8-Stomach pain;10-Red eyes;12-Bleeding",21,"1-Yes","N","Y","N","N",,"0-Never",0,"","","","","N","","","",,"1-Yes","0-No",0,"1-Community leaders;3-Community members","1-Agree","1-Agree","0-No","1-Yes","0-No","0-No","0-No",6,0,,"2-Several times",5,"2-USD",10,"2-USD","4-Skilled manual","N","Y","Y","Y","0-Never","Y",3,2,3,3,99,99,99,,"Y","N","0-None"
,"12/5/2014 14:15:16",2002,"Z100-New KruTown",2004185,,"1-Male",26,5,"7-Some university","1-Christian","","","","",,"1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;5-Touching dead bodies","1-Vomiting;3-Diarrhea;9-Rash",2,"1-Yes","N","Y","N","Y",,"0-Never",3,"N","","","","N","","","",,"1-Yes","1-Yes",2,"6-Community group","1-Agree","1-Agree","1-Yes","1-Yes","0-No","0-No","0-No",0,0,,"3-Many times",950,"1-LD",950,"1-LD","1-Professional","Y","N","Y","N","3-Many times","Y",3,3,0,2,1,3,3,,"Y","N","0-None"
,"12/5/2014 15:43:06",2002,"Z100-New KruTown",2004172,,"2-Female",60,5,"5-Some high school","1-Christian","","","","",,"1-Preparing or eating bush mea;2-Eating fruit bitten by bats;5-Touching dead bodies","1-Vomiting;2-Fever;3-Diarrhea;4-Headache;5-Joint and muscle pain",21,"1-Yes","N","Y","N","N",,"0-Never",0,"","","","","N","","","",,"1-Yes","1-Yes",0,"1-Community leaders","1-Agree","1-Agree","1-Yes","0-No","1-Yes","0-No","0-No",4,0,,"1-Just once or twice",2000,"1-LD",3500,"1-LD","1-Professional","Y","Y","Y","Y","1-Just once or twice","N",0,0,0,0,2,3,0,,"Y","Y","88-Other"
,"12/5/2014 16:08:32",2002,"Z100-New KruTown",2002202,,"2-Female",34,10,"0-None","2-Muslim","0-No","","0-No","",,"3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies","1-Vomiting;2-Fever;3-Diarrhea;10-Red eyes",7,"0-No","Y","Y","Y","N",,"1-Just once or twice",10,"N","","","","Y","Y","","4-At home doctor or nurse",,"1-Yes","1-Yes",0,"88-Other","1-Agree","1-Agree","1-Yes","1-Yes","0-No","0-No","0-No",0,0,,"2-Several times",0,"1-LD",2000,"1-LD","3-Sales and services","Y","Y","Y","Y","1-Just once or twice","Y",3,7,0,7,1,2,0,,"Y","N","2-Child present"
,"12/5/2014 16:14:22",2002,"Z100-New KruTown",2004145,,"2-Female",46,9,"0-None","1-Christian","0-No","","0-No","",,"1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;3-Diarrhea;4-Headache;5-Joint and muscle pain;10-Red eyes",7,"0-No","N","Y","Y","N",,"2-Several times",3,"N","","","","N","","","",,"1-Yes","0-No",1,"1-Community leaders","0-Disagree","1-Agree","1-Yes","0-No","0-No","0-No","0-No",0,0,,"2-Several times",5000,"1-LD",1000,"1-LD","6-Domestic services","N","Y","Y","Y","2-Several times","Y",3,4,0,1,1,2,0,,"Y","N","0-None"
,"12/5/2014 14:38:27",2002,"Z100-New KruTown",2004171,,"2-Female",23,10,"3-Some junior high","1-Christian","1-Yes","9-Margibi","0-No","",,"1-Preparing or eating bush mea;3-Bodily fluids of infected pe;5-Touching dead bodies","1-Vomiting;2-Fever;3-Diarrhea;4-Headache",5,"0-No","N","Y","N","N",,"0-Never",2,"Y","Y","","","N","","","",,"1-Yes","1-Yes",0,"1-Community leaders","0-Disagree","1-Agree","0-No","0-No","0-No","0-No","0-No",0,0,,"2-Several times",1200,"1-LD",5000,"1-LD","0-None","N","Y","N","Y","2-Several times","Y",4,6,0,7,1,3,0,,"Y","N","0-None"
,"12/5/2014 16:40:12",2002,"Z100-New KruTown",2004123,,"2-Female",34,8,"5-Some high school","1-Christian","","","","",,"3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac;88-Other","1-Vomiting;2-Fever;3-Diarrhea;4-Headache;7-Weakness;10-Red eyes",21,"0-No","N","Y","N","N",,"2-Several times",1,"N","","","","N","","","",,"1-Yes","1-Yes",0,"","1-Agree","1-Agree","1-Yes","0-No","0-No","0-No","0-No",0,0,,"2-Several times",2000,"1-LD",5000,"1-LD","4-Skilled manual","Y","Y","N","N","2-Several times","Y",0,7,3,3,1,3,0,,"Y","N","0-None"
,"12/6/2014 9:48:11",2002,"Z100-New KruTown",2002103,,"1-Male",31,7,"6-Completed high school","2-Muslim","","","","",,"88-Other","1-Vomiting;9-Rash;10-Red eyes",0,"0-No","N","Y","Y","Y",,"0-Never",3,"N","","","","N","Y","","",,"0-No","0-No",0,"88-Other","0-Disagree","1-Agree","0-No","0-No","0-No","0-No","0-No",0,0,,"3-Many times",0,"1-LD",700,"1-LD","4-Skilled manual","Y","Y","Y","Y","2-Several times","Y",2,3,0,3,1,3,0,,"N","N","3-Spouse present;88-Other"
,"12/5/2014 14:17:55",2002,"Z100-New KruTown",2002101,,"1-Male",75,9,"8-Completed university","1-Christian","","","","",,"3-Bodily fluids of infected pe","1-Vomiting;3-Diarrhea;9-Rash",0,"0-No","N","Y","Y","Y",,"0-Never",1,"Y","Y","","","Y","Y","","1-Clinic",,"1-Yes","0-No",0,"88-Other","1-Agree","1-Agree","1-Yes","1-Yes","0-No","0-No","0-No",0,0,,"0-Never",3000,"1-LD",500,"2-USD","1-Professional","Y","Y","N","N","0-Never","Y",0,0,0,,2,3,0,,"Y","N","0-None"
,"12/7/2014 10:16:18",2003,"Z100-New KruTown",2003132,,"2-Female",40,5,"0-None","1-Christian","","","","",,"3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac","10-Red eyes;18-Cough",21,"0-No","N","Y","Y","N",,"0-Never",0,"","","","","N","","","",,"1-Yes","1-Yes",0,"88-Other","1-Agree","1-Agree","1-Yes","0-No","0-No","0-No","0-No",0,0,,"1-Just once or twice",250,"1-LD",500,"1-LD","3-Sales and services","Y","Y","Y","Y","2-Several times","Y",3,3,0,2,1,3,0,,"Y","N","0-None"
,"1/8/2015 13:29:30",2003,"Z100-New KruTown",2003136,,"2-Female",51,10,"0-None","1-Christian","0-No","","0-No","",,"97-Dont know","1-Vomiting;3-Diarrhea;4-Headache;6-Sore throat;10-Red eyes",3,"0-No","N","Y","Y","N",,"2-Several times",2,"N","","","","N","","","",,"1-Yes","1-Yes",0,"88-Other","1-Agree","1-Agree","1-Yes","0-No","0-No","0-No","0-No",0,0,,"2-Several times",250,"1-LD",350,"1-LD","88-Other","N","N","N","N","1-Just once or twice","Y",4,3,0,3,1,2,0,,"Y","N","0-None"
